Id,Key,Latina(lat),English(en),Ukrainian(Ua)
1,cranium,cranium,cranium,череп
2,columna vertebralis,columna vertebralis,vertebral column,хребтовий стовп
3,clavicula,clavicula,clavicle,ключиця
4,scapula,scapula,scapula,лопатка
5,sternum,sternum,sternum,груднина
6,humerus,humerus,humerus,плечова кістка
7,radius,radius,radius,променева кістка
8,ulna,ulna,ulna,ліктьова кістка
9,ossa carpi,ossa carpi,carpal bones,зап’ясткові кістки
10,ossa metacarpi,ossa metacarpi,metacarpal bones,п’ясткові кістки
11,phalanges manus,phalanges manus,phalanges of the fingers,фаланги
12,os coxae,os coxae,hip bone,кульшова кістка
13,os sacrum,os sacrum,sacrum,крижова кістка
14,symphysis pubica,symphysis pubica,pubic symphysis,лобковий симфіз
15,ossa tarsi,ossa tarsi,metatarsal bones,плеснові кістки
16,phalanges pedis,phalanges pedis,phalanges of the toes,фаланги стопи
17,ossa metatarsi,ossa metatarsi,tarsal bones,заплеснові кістки
18,fibula,fibula,fibula,малогомілкова кістка
19,tibia,tibia,tibia,великогомілкова кістка
20,patella,patella,patella,наколінок
21,femur,femur,thigh bone,стегнова кістка
22,costae,costae,ribs,ребра
23,Skeleton hominis,Skeleton hominis,Human skeleton,Скелет людини
24,vertebrae cervicales,vertebrae cervicales,cervical vertebrae,шийні хребці
25,vertebrae thoracicae,vertebrae thoracicae,thoracic vertebrae,грудні хребці
26,vertebrae lumbales,vertebrae lumbales,lumbar vertebrae,поперекові хребці
27,os sacrum (vertebrae sacrales I-V),os sacrum (vertebrae sacrales I-V),sacrum,крижова кістка (крижові хребці I-V)
28,os coccygis,os coccygis,coccyx,куприк
29,atlas (С I),atlas (С I),atlas (С I),атлант (С І)
30,axis (C II),axis (C II),axis (С II),осьовий хребець (С II)
31,vertebra prominens (С VII),vertebra prominens (С VII),vertebra prominens (С VII),виступний хребець (С VII)
32,foramen intervertebrale,foramen intervertebrale,intervertebrale foramen,міжхребцеві отвори
33,promontorium,promontorium,promontorium,мис
34,Vertebra thoracica,Vertebra thoracica,Thoracic vertebra,Грудний хребець
35,arcus vertebrae,arcus vertebrae,vertebral arch,дуга хребця
36,processus transversus,processus transversus,transverse process,поперечний відросток
37,pediculus arcus vertebrae,pediculus arcus vertebrae,pedicle of the vertebra,ніжка дуги хребця
38,corpus vertebrae,corpus vertebrae,vertebral body,тіло хребця
39,fovea costalis,fovea costalis,costal facet,реброва ямка
40,foramen vertebrale,foramen vertebrale,vertebral foramen,хребцевий отвір
41,fovea costalis processus transversi,fovea costalis processus transversi,transverse costal facet,реброва ямка поперечного відростка
42,processus articularis superior,processus articularis superior,superior articular process,верхній суглобовий відросток
43,processus spinosus,processus spinosus,spinous process,остистий відросток
44,incisura vertebralis superior,incisura vertebralis superior,superior vertebral notch,верхня хребцева вирізка
45,fovea costalis superior,fovea costalis superior,superior costal facet,верхня реброва ямка
46,fovea costalis inferior,fovea costalis inferior,inferior costal facet,нижня реброва ямка
47,incisura vertebralis inferior,incisura vertebralis inferior,inferior vertebral notch,нижня хребцева вирізка
48,processus articularis inferior,processus articularis inferior,inferior articular process,нижній суглобовий відросток
49,tuberculum posterius,tuberculum posterius,posterior tubercle,задній горбок
50,arcus posterior,arcus posterior,posterior arch,задня дуга
51,foramen transversarium,foramen transversarium,transverse foramen,поперечний отвір
52,arcus anterior,arcus anterior,anterior arch,передня дуга
53,tuberculum anterius,tuberculum anterius,anterior tubercle,передній горбок
54,sulcus arteriae vertebralis,sulcus arteriae vertebralis,groove for vertebral artery,борозна хребтової артерії
55,fovea dentis,fovea dentis,facet for dens,ямка зуба
56,massa lateralis,massa lateralis,lateral mass,бічна маса
57,facies articularis inferior,facies articularis inferior,inferior articular surface,нижня суглобова поверхня
58,apex dentis,apex dentis,apex of dens,верхівка зуба
59,facies articularis anterior,facies articularis anterior,anterior articular facet,передня суглобова поверхня
60,facies articularis superior,facies articularis superior,superior articular facet,верхня суглобова поверхня
61,dens axis,dens axis,dens of axis,зуб осьового хребця
62,facies articularis posterior,facies articularis posterior,posterior articular facet,задня суглобова поверхня
63,Vertebra cervicalis,Vertebra cervicalis,Cervical vertebra,Шийний хребець
64,Vertebra lumbalis,Vertebra lumbalis,Lumbar vertebra,Поперековий хребець
65,processus mamillaris,processus mamillaris,mammilary process,соскоподібний відросток
66,processus costiformis,processus costiformis,transverse process,ребро-подібний відросток
67,processus accessorius,processus accessorius,accessory process,додатковий відросток
68,basis ossi sacri,basis ossi sacri,base of sacrum,основа крижової кістки
69,pars lateralis,pars lateralis,lateral part,бічна частина
70,lineae transversae,lineae transversae,transverse lines,поперечні лінії
71,apex ossis sacri,apex ossis sacri,apex,верхівка крижової кістки
72,foramina sacralia anteriora,foramina sacralia anteriora,anterior sacral foramina,передні крижові отвори
73,ala ossis sacri,ala ossis sacri,sacral wing,крило крижової кістки
74,canalis sacralis,canalis sacralis,sacral canal (superior opening),крижовий канал
75,tuberositas sacralis,tuberositas sacralis,sacral tuberosity,горбистість крижової кістки
76,foramina sacralia posteriora,foramina sacralia posteriora,posterior (dorsal) sacral foramina,задні крижові отвори
77,crista sacralis medialis,crista sacralis medialis,intermediate sacral crest,присередній крижовий гребінь
78,hiatus sacralis,hiatus sacralis,sacral hiatus,крижовий розтвір
79,cornu sacrale,cornu sacrale,sacral horn,крижовий ріг
80,crista sacralis mediana,crista sacralis mediana,median sacral crest,серединний крижовий гребінь
81,crista sacralis lateralis,crista sacralis lateralis,lateral sacral crest,бічний крижовий гребінь
82,Costa,Costa,Rib,Ребро
83,crista colli costae,crista colli costae,crest of the neck,гребінь шийки ребра
84,angulus costae,angulus costae,angle of the rib,кут ребра
