Id,Key,Latina(lat),English(en),Ukrainian(Ua)
1,skeleton axiale,skeleton axiale,skeleton axiale,осьовий скелет
2,cranium,cranium,cranium,череп
3,neurocranium,neurocranium,neurocranium,нейрочереп
4,os frontale,os frontale,frontal bone,лобова кістка
5,os ethmoidale,os ethmoidale,ethmoid bone,решітчаста кістка
6,os occipitale,os occipitale,occipital bone,потилична кістка
7,os sphenoidale,os sphenoidale,sphenoid bone,клиноподібна кістка
8,os temporale,os temporale,temporal bone,скронева кістка
9,os parietale,os parietale,parietal bone,тім'яна кістка
10,cranium viscerale,cranium viscerale,visceral cranium,вісцеральний череп
11,os palatinum,os palatinum,palatine bone,піднебінний рот
12,dentes,dentes,teeth,зуби
13,vomer,vomer,vomer,блювота
14,mandibula,mandibula,mandible,нижня щелепа
15,Lower_dentes,Lower_dentes,Lower teeth,Нижні_зуби
16,os zygomaticum,os zygomaticum,zygomatic bone,вилична кістка
17,os nasale,os nasale,nasal bone,Носова порожнина
18,os lacrimale,os lacrimale,lacrimal bone,заплаканий рот
19,concha nasalis inferior,concha nasalis inferior,inferior nasal concha,нижня носова раковина
20,columna vertebralis,columna vertebralis,vertebral column,хребетний стовп
21,sceleton appendiculare,sceleton appendiculare,appendicular skeleton,апендикулярний скелет
22,ossa membri superioris,ossa membri superioris,bones of the upper limb,кістки верхньої кінцівки
23,cingulum membri superioris,cingulum membri superioris,girdle of the upper limb,пояс верхньої кінцівки
24,scapula,scapula,scapula,лопатка
25,processus coracoideus,processus coracoideus,coracoid process,коракоїдний відросток
26,acromion,acromion,acromion,акроміон
27,angulus acromialis,angulus acromialis,acromial angle,акроміальний кут
28,angulus lateralis,angulus lateralis,lateral angle,бічний кут
29,margo lateralis,margo lateralis,lateral border,бічний край
30,facies posterior,facies posterior,posterior surface,заднє обличчя
31,angulus inferior,angulus inferior,inferior angle,нижній кут
32,margo medialis,margo medialis,medial border,медіальний край
33,fossa infraspinata,fossa infraspinata,infraspinous fossa,подостной ямка
34,fossa supraspinata,fossa supraspinata,supraspinous fossa,надостна ямка
35,angulus superior,angulus superior,superior angle,верхній кут
36,margo superior,margo superior,superior border,верхнє поле
37,spina scapulae,spina scapulae,spine of the scapula,Ость лопатки
38,incisura scapulae,incisura scapulae,scapular notch,плечовий розріз
39,fossa subscapularis,fossa subscapularis,subscapular fossa,підлопаткової ямки
40,facies costalis,facies costalis,costal surface,реберні особи
