Id,Key,Latina(lat),English(en),Ukrainian(Ua)
1,skeleton axiale,skeleton axiale,axial skeleton,осьовий скелет
2,cranium,cranium,skull,череп
3,neurocranium,neurocranium,neurocranium,нейрочереп
4,os frontale,os frontale,frontal bone,лобова кістка
5,tuber frontale,tuber frontale,frontal tubercle,лобовий горбок
6,glabella,glabella,glabella,глабелла
7,foramen supraorbitale,foramen supraorbitale,supraorbital foramen,надочноямковий отвір
8,processus zygomaticus,processus zygomaticus,zygomatic process,виличний відросток
9,squama frontalis,squama frontalis,frontal scale,фронтальна шкала
10,Sulcus sinus sagittalis superioris,Sulcus sinus sagittalis superioris,The groove of the superior sagittal sinus,Борозна верхнього сагітального синуса
11,foramen ethmoidale anterius,foramen ethmoidale anterius,anterior ethmoidal foramen,передній решітчастий отвір
12,os ethmoidale,os ethmoidale,ethmoid bone,решітчаста кістка
13,os occipitale,os occipitale,occipital bone,потилична кістка
14,pars basilaris,pars basilaris,basic part,базова частина
15,foramen magnum,foramen magnum,a big hole,великий отвір
16,squama occipitalis,squama occipitalis,occipital scales,потилична луска
17,eminentia cruciformis,eminentia cruciformis,cruciform eminence,хрестоподібне підвищення
18,fossa cerebellaris,fossa cerebellaris,cerebellar fossa,ямка мозочка
19,condylus occipitalis,condylus occipitalis,occipital condyle,потиличний виросток
20,protuberantia occipitalis interna,protuberantia occipitalis interna,internal occipital protuberance,внутрішній потиличний виступ
21,protuberantia occipitalis externa,protuberantia occipitalis externa,external occipital protuberance,зовнішній потиличний виступ
22,os sphenoidale,os sphenoidale,sphenoid bone,клиноподібна кістка
23,os temporale,os temporale,temporal bone,скронева кістка
24,os parietale,os parietale,parietal bone,тім'яна кістка
25,cranium viscerale,cranium viscerale,visceral skull,вісцеральний череп
26,os palatinum,os palatinum,palatine mouth,піднебінний рот
27,dentes,dentes,teeth,зуби
28,vomer,vomer,vomit,блювота
29,mandibula,mandibula,mandible,нижня щелепа
30,Lower_dentes,Lower_dentes,Lower_teeth,Нижні_зуби
31,os zygomaticum,os zygomaticum,zygomatic bone,вилична кістка
32,os nasale,os nasale,nasal cavity,Носова порожнина
33,os lacrimale,os lacrimale,tearful mouth,заплаканий рот
34,concha nasalis inferior,concha nasalis inferior,inferior nasal concha,нижня носова раковина
35,columna vertebralis,columna vertebralis,vertebral column,хребетний стовп
36,sceleton appendiculare,sceleton appendiculare,appendicular skeleton,апендикулярний скелет
37,ossa membri superioris,ossa membri superioris,the bones of the upper limb,кістки верхньої кінцівки
38,cingulum membri superioris,cingulum membri superioris,the girdle of the upper limb,пояс верхньої кінцівки
39,scapula,scapula,shoulder blade,лопатка
40,processus coracoideus,processus coracoideus,coracoid process,коракоїдний відросток
41,acromion,acromion,acromion,акроміон
42,angulus acromialis,angulus acromialis,acromial angle,акроміальний кут
43,angulus lateralis,angulus lateralis,lateral angle,бічний кут
44,margo lateralis,margo lateralis,lateral margin,бічний край
45,facies posterior,facies posterior,posterior face,заднє обличчя
46,angulus inferior,angulus inferior,lower angle,нижній кут
47,margo medialis,margo medialis,medial margin,медіальний край
48,fossa infraspinata,fossa infraspinata,infraspinal fossa,подостной ямка
49,fossa supraspinata,fossa supraspinata,supraspinatus fossa,надостна ямка
50,angulus superior,angulus superior,upper corner,верхній кут
51,margo superior,margo superior,upper margin,верхнє поле
52,spina scapulae,spina scapulae,The spine of the scapula,Ость лопатки
53,incisura scapulae,incisura scapulae,shoulder incision,плечовий розріз
54,fossa subscapularis,fossa subscapularis,subscapular fossa,підлопаткової ямки
55,facies costalis,facies costalis,costal faces,реберні особи
56,tuberculum infraglenoidale,tuberculum infraglenoidale,infraglenoid tubercle,підсуглобовий горбок
57,cavitas glenoidalis,cavitas glenoidalis,glenoid cavity,суглобова порожнина
58,facies articularis acromialis,facies articularis acromialis,facet of the acromial joint,фасетка акроміального суглоба
59,collum scapulae,collum scapulae,the neck of the shoulder,шийка плеча
60,clavicula,clavicula,key,ключ
61,corpus claviculae,corpus claviculae,the body of the key,тіло ключа
62,extremitas acromialis,extremitas acromialis,acromial extremity,акроміальна кінцівка
63,extremitas sternalis,extremitas sternalis,sternal extremity,груднину
64,sulcus m. subclavii,sulcus m. subclavii,sulcus m. the basement,sulcus m. підвал
65,impressio lig. costoclavicularis,impressio lig. costoclavicularis,impression lig. costoclavicular,враження lig. реберно-ключичний
66,foramen nutricium,foramen nutricium,nursing hole,отвір для годування
67,tuberculum conoideum,tuberculum conoideum,conoid tubercle,коноїдний горбок
68,linea trapezoidea,linea trapezoidea,trapezoidal line,трапецієподібна лінія
